subCustomerName,Sub Customer Country Name,Sub Customer Name,src\page\service\oms\activity\pages\IBUActivityCalenderV2\IBUActivityCalenderV2.vue
MSRP,MSRP,MSRP,src\page\service\oms\activity\pages\IBUActivityCalenderV2\IBUActivityCalenderV2.vue
lowestPromotionPrice,Lowest Promotion Price,Lowest Promotion Price,src\page\service\oms\activity\pages\IBUActivityCalenderV2\IBUActivityCalenderV2.vue
msrp Target Percent,MSRP Target Percent,msrp Target Percent,src\page\service\oms\activity\pages\IBUActivityCalenderV2\IBUActivityCalenderV2.vue
基础信息,Baisc Info.,基础信息,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveModifyV2\components\examineAndApproveModify.vue
附件,Attachment,附件,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveModifyV2\components\examineAndApproveModify.vue
促销信息,Promotion Details,促销信息,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveModifyV2\components\examineAndApproveModify.vue
冲突,Conflict,冲突,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveModifyV2\components\examineAndApproveModify.vue
线上价格露出,Online Price Display,线上价格露出,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveModifyV2\components\examineAndApproveModify.vue
子客户编码,Sub Customer Code,子客户编码,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveModifyV2\components\examineAndApproveModify.vue
子客户简称,Sub Customer ABBR.,子客户简称,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveModifyV2\components\examineAndApproveModify.vue
产品名称,Product Name,产品名称,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveModifyV2\components\examineAndApproveModify.vue
产品状态,Status,产品状态,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveModifyV2\components\examineAndApproveModify.vue
促销类型,Promotion Type,促销类型,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveModifyV2\components\examineAndApproveModify.vue
促销简称,Promotion ABBR.,促销简称,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveModifyV2\components\examineAndApproveModify.vue
开始时间,Start Time,开始时间,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveModifyV2\components\examineAndApproveModify.vue
结束时间,End Time,结束时间,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveModifyV2\components\examineAndApproveModify.vue
币别,Currency,币别,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveModifyV2\components\examineAndApproveModify.vue
MSRP,MSRP,MSRP,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveModifyV2\components\examineAndApproveModify.vue
促销价格,Promotion Price,促销价格,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveModifyV2\components\examineAndApproveModify.vue
折扣,Discount,折扣,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveModifyV2\components\examineAndApproveModify.vue
毛利1,Gross Profit 1,毛利1,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveModifyV2\components\examineAndApproveModify.vue
净利1,Net Profit 1,净利1,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveModifyV2\components\examineAndApproveModify.vue
销量预测,Est. Sales Volume,销量预测,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveModifyV2\components\examineAndApproveModify.vue
销额预测,Est. Sales Amount,销额预测,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveModifyV2\components\examineAndApproveModify.vue
SI币别,SI Currency,SI币别,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveModifyV2\components\examineAndApproveModify.vue
SI价格,SI Price,SI价格,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveModifyV2\components\examineAndApproveModify.vue
SI支持,SI Support,SI支持,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveModifyV2\components\examineAndApproveModify.vue
SI数量,SI Quantity,SI数量,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveModifyV2\components\examineAndApproveModify.vue
SI金额,Si Amount,SI金额,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveModifyV2\components\examineAndApproveModify.vue
毛利2,Gross Profit 2,毛利2,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveModifyV2\components\examineAndApproveModify.vue
净利2,Net Profit 2,净利2,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveModifyV2\components\examineAndApproveModify.vue
查看变更记录,Check Change Record,查看变更记录,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveModifyV2\components\examineAndApproveModify.vue
查看,View,查看,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveModifyV2\components\examineAndApproveModify.vue
新增,Add,新增,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveModifyV2\components\historyModal.vue
冲突,Conflict,冲突,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveModifyV2\components\historyModal.vue
线上价格露出,Online Price Display,线上价格露出,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveModifyV2\components\historyModal.vue
子客户编码,Sub Customer Code,子客户编码,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveModifyV2\components\historyModal.vue
子客户简称,Sub Customer ABBR.,子客户简称,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveModifyV2\components\historyModal.vue
产品名称,Product Name,产品名称,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveModifyV2\components\historyModal.vue
产品状态,Status,产品状态,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveModifyV2\components\historyModal.vue
促销类型,Promotion Type,促销类型,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveModifyV2\components\historyModal.vue
促销简称,Promotion ABBR.,促销简称,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveModifyV2\components\historyModal.vue
开始时间,Start Time,开始时间,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveModifyV2\components\historyModal.vue
结束时间,End Time,结束时间,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveModifyV2\components\historyModal.vue
币别,Currency,币别,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveModifyV2\components\historyModal.vue
MSRP,MSRP,MSRP,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveModifyV2\components\historyModal.vue
促销价格,Promotion Price,促销价格,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveModifyV2\components\historyModal.vue
折扣,Discount,折扣,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveModifyV2\components\historyModal.vue
毛利1,Gross Profit 1,毛利1,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveModifyV2\components\historyModal.vue
净利1,Net Profit 1,净利1,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveModifyV2\components\historyModal.vue
销量预测,Est. Sales Volume,销量预测,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveModifyV2\components\historyModal.vue
