list,List,列表,D:\代码库\saafweb\src\page\base\company\CompanyInfo.vue
companyCode,companyCode,公司编码,D:\代码库\saafweb\src\page\base\company\CompanyInfo.vue
companyName,companyName,公司名称,D:\代码库\saafweb\src\page\base\company\CompanyInfo.vue
sapCode,sapCode,SAP编码,D:\代码库\saafweb\src\page\base\company\CompanyInfo.vue
companyLeader,companyLeader,公司法人,D:\代码库\saafweb\src\page\base\company\CompanyInfo.vue
companyStatus,companyStatus,公司状态,D:\代码库\saafweb\src\page\base\company\CompanyInfo.vue
businessLicense,businessLicense,营业执照,D:\代码库\saafweb\src\page\base\company\CompanyInfo.vue
itin,itin,纳税人识别号,D:\代码库\saafweb\src\page\base\company\CompanyInfo.vue
companyType,companyType,公司类型,D:\代码库\saafweb\src\page\base\company\CompanyInfo.vue
businessDivision,businessDivision,所属事业部,D:\代码库\saafweb\src\page\base\company\CompanyInfo.vue
currency,currency,记账本位币,D:\代码库\saafweb\src\page\base\company\CompanyInfo.vue
invoiceType,invoiceType,发票类型,D:\代码库\saafweb\src\page\base\company\CompanyInfo.vue
invoiceTitle,invoiceTitle,发票抬头,D:\代码库\saafweb\src\page\base\company\CompanyInfo.vue
invoiceAddr,invoiceAddr,发票地址,D:\代码库\saafweb\src\page\base\company\CompanyInfo.vue
invoicePhone,invoicePhone,发票电话,D:\代码库\saafweb\src\page\base\company\CompanyInfo.vue
depositBank,depositBank,开户银行,D:\代码库\saafweb\src\page\base\company\CompanyInfo.vue
openingBranch,openingBranch,开户支行,D:\代码库\saafweb\src\page\base\company\CompanyInfo.vue
unitBankNo,unitBankNo,联行号,D:\代码库\saafweb\src\page\base\company\CompanyInfo.vue
bankAccount,bankAccount,银行账号,D:\代码库\saafweb\src\page\base\company\CompanyInfo.vue
financialContact,financialContact,财务联系人,D:\代码库\saafweb\src\page\base\company\CompanyInfo.vue
phone,phone,联系电话,D:\代码库\saafweb\src\page\base\company\CompanyInfo.vue
payee,payee,收款人,D:\代码库\saafweb\src\page\base\company\CompanyInfo.vue
reviewer,reviewer,复核人,D:\代码库\saafweb\src\page\base\company\CompanyInfo.vue
drawer,drawer,开票人,D:\代码库\saafweb\src\page\base\company\CompanyInfo.vue
deleteSuccess,缺少翻译,缺少翻译,D:\代码库\saafweb\src\page\base\company\CompanyInfo.vue
deleteFailed,缺少翻译,缺少翻译,D:\代码库\saafweb\src\page\base\company\CompanyInfo.vue
companyCode,companyCode,公司编码,D:\代码库\saafweb\src\page\base\company\CompanyInfoDetail.vue
companyName,companyName,公司名称,D:\代码库\saafweb\src\page\base\company\CompanyInfoDetail.vue
parentCompany,parentCompany！,上级公司,D:\代码库\saafweb\src\page\base\company\CompanyInfoDetail.vue
please select parent company,please select parent company！,请选择上级公司！,D:\代码库\saafweb\src\page\base\company\CompanyInfoDetail.vue
parentCompanyCode,parentCompanyCode,上级公司编码,D:\代码库\saafweb\src\page\base\company\CompanyInfoDetail.vue
parentCompanyName,parentCompanyName,上级公司名称,D:\代码库\saafweb\src\page\base\company\CompanyInfoDetail.vue
sapCode,sapCode,SAP编码,D:\代码库\saafweb\src\page\base\company\CompanyInfoDetail.vue
companyLeader,companyLeader,公司法人,D:\代码库\saafweb\src\page\base\company\CompanyInfoDetail.vue
companyStatus,companyStatus,公司状态,D:\代码库\saafweb\src\page\base\company\CompanyInfoDetail.vue
businessLicense,businessLicense,营业执照,D:\代码库\saafweb\src\page\base\company\CompanyInfoDetail.vue
itin,itin,纳税人识别号,D:\代码库\saafweb\src\page\base\company\CompanyInfoDetail.vue
companyType,companyType,公司类型,D:\代码库\saafweb\src\page\base\company\CompanyInfoDetail.vue
currency,currency,记账本位币,D:\代码库\saafweb\src\page\base\company\CompanyInfoDetail.vue
invoiceType,invoiceType,发票类型,D:\代码库\saafweb\src\page\base\company\CompanyInfoDetail.vue
invoiceTitle,invoiceTitle,发票抬头,D:\代码库\saafweb\src\page\base\company\CompanyInfoDetail.vue
invoiceAddr,invoiceAddr,发票地址,D:\代码库\saafweb\src\page\base\company\CompanyInfoDetail.vue
invoicePhone,invoicePhone,发票电话,D:\代码库\saafweb\src\page\base\company\CompanyInfoDetail.vue
depositBank,depositBank,开户银行,D:\代码库\saafweb\src\page\base\company\CompanyInfoDetail.vue
openingBranch,openingBranch,开户支行,D:\代码库\saafweb\src\page\base\company\CompanyInfoDetail.vue
unitBankNo,unitBankNo,联行号,D:\代码库\saafweb\src\page\base\company\CompanyInfoDetail.vue
bankAccount,bankAccount,银行账号,D:\代码库\saafweb\src\page\base\company\CompanyInfoDetail.vue
financialContact,financialContact,财务联系人,D:\代码库\saafweb\src\page\base\company\CompanyInfoDetail.vue
phone,phone,联系电话,D:\代码库\saafweb\src\page\base\company\CompanyInfoDetail.vue
payee,payee,收款人,D:\代码库\saafweb\src\page\base\company\CompanyInfoDetail.vue
reviewer,reviewer,复核人,D:\代码库\saafweb\src\page\base\company\CompanyInfoDetail.vue
drawer,drawer,开票人,D:\代码库\saafweb\src\page\base\company\CompanyInfoDetail.vue
businessDivision,businessDivision,所属事业部,D:\代码库\saafweb\src\page\base\company\CompanyInfoDetail.vue
transferInventory,缺少翻译,中转仓库,D:\代码库\saafweb\src\page\base\company\CompanyInfoDetail.vue
请选择仓库,缺少翻译,缺少翻译,D:\代码库\saafweb\src\page\base\company\CompanyInfoDetail.vue
仓库编码,缺少翻译,缺少翻译,D:\代码库\saafweb\src\page\base\company\CompanyInfoDetail.vue
仓库名称,缺少翻译,缺少翻译,D:\代码库\saafweb\src\page\base\company\CompanyInfoDetail.vue
transferLocation,缺少翻译,中转库位,D:\代码库\saafweb\src\page\base\company\CompanyInfoDetail.vue
请选择库位,缺少翻译,缺少翻译,D:\代码库\saafweb\src\page\base\company\CompanyInfoDetail.vue
库位编码,缺少翻译,缺少翻译,D:\代码库\saafweb\src\page\base\company\CompanyInfoDetail.vue
库位名称,缺少翻译,缺少翻译,D:\代码库\saafweb\src\page\base\company\CompanyInfoDetail.vue
companyNameEn,缺少翻译,公司英文名称,D:\代码库\saafweb\src\page\base\company\CompanyInfoDetail.vue
addressEn,缺少翻译,英文地址,D:\代码库\saafweb\src\page\base\company\CompanyInfoDetail.vue
required,Required,必填项,D:\代码库\saafweb\src\page\base\company\CompanyInfoDetail.vue
列表查询,list,列表查询,D:\代码库\saafweb\src\page\base\concurrentPrograms\ConcurrentPrograms.vue
Job名称,Job name,Job名称,D:\代码库\saafweb\src\page\base\concurrentPrograms\ConcurrentPrograms.vue
系统平台,System platform,系统平台,D:\代码库\saafweb\src\page\base\concurrentPrograms\ConcurrentPrograms.vue
业务模块,Business module,业务模块,D:\代码库\saafweb\src\page\base\concurrentPrograms\ConcurrentPrograms.vue
Job类型,Job type,Job类型,D:\代码库\saafweb\src\page\base\concurrentPrograms\ConcurrentPrograms.vue
可执行名称,Executable name,可执行名称,D:\代码库\saafweb\src\page\base\concurrentPrograms\ConcurrentPrograms.vue
限制单实例运行,Limit single instance,限制单实例运行,D:\代码库\saafweb\src\page\base\concurrentPrograms\ConcurrentPrograms.vue
方法,Method,方法,D:\代码库\saafweb\src\page\base\concurrentPrograms\ConcurrentPrograms.vue
新增并发,Add Concurrent,新增并发,D:\代码库\saafweb\src\page\base\concurrentPrograms\ConcurrentPrograms.vue
修改并发,Modify Concurrent,修改并发,D:\代码库\saafweb\src\page\base\concurrentPrograms\ConcurrentPrograms.vue
删除成功,Deleted Successfully,删除成功,D:\代码库\saafweb\src\page\base\concurrentPrograms\ConcurrentPrograms.vue
并发程序,ConcurrentPrograms,并发程序,D:\代码库\saafweb\src\page\base\concurrentPrograms\ConcurrentProgramsDetail.vue
并发程序信息,ConcurrentPrograms information,并发程序信息,D:\代码库\saafweb\src\page\base\concurrentPrograms\ConcurrentProgramsDetail.vue
Job名称,Job name,Job名称,D:\代码库\saafweb\src\page\base\concurrentPrograms\ConcurrentProgramsDetail.vue
系统平台,System platform,系统平台,D:\代码库\saafweb\src\page\base\concurrentPrograms\ConcurrentProgramsDetail.vue
业务模块,Business module,业务模块,D:\代码库\saafweb\src\page\base\concurrentPrograms\ConcurrentProgramsDetail.vue
Job类型,Job type,Job类型,D:\代码库\saafweb\src\page\base\concurrentPrograms\ConcurrentProgramsDetail.vue
可执行方法,Executable Method,方法,D:\代码库\saafweb\src\page\base\concurrentPrograms\ConcurrentProgramsDetail.vue
可执行名称,Executable name,可执行名称,D:\代码库\saafweb\src\page\base\concurrentPrograms\ConcurrentProgramsDetail.vue
